rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
110,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,355,355,355,355,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
111,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,0,0,314,314,314,314,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
112,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,293,293,293,293,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
113,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,261,261,261,261,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
114,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,239,239,239,239,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
115,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,234,234,234,234,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
116,rslurry/subwaybuilder-pauseonstart,subwaybuilder-pauseOnStart,rslurry,slurry,https://github.com/rslurry,1,0,0,230,230,230,230,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
117,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,229,229,229,229,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
118,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,0,0,228,228,228,228,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
119,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,228,228,228,228,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
120,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,225,225,225,225,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
121,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,0,0,217,217,217,217,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
122,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,191,191,191,191,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
123,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,189,187,189,187,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
124,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,0,186,186,186,186,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
125,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,186,186,186,186,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
126,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,181,181,181,181,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
127,pswbsf/pyongyang-nk,pyongyang-nk,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,158,158,158,158,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
128,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,0,0,157,157,157,157,snapshot_2026_09_26.json,snapshot_2026_09_19.json,0,0,0,0
